Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10643,21583037.19,15613975.53
Sucursal Norte,Fanta,2020,1,2028,3944494.81,3152947.85
Sucursal Norte,Sprite,2020,1,7878,13946232.93,10322584.14
Sucursal Norte,7 Up,2020,1,1037,1628856.49,1220563.93
Sucursal Norte,Pepsi,2020,1,8311,14744709.03,10878820.34
Sucursal Centro,Coca Cola,2020,1,10160,21770244.51,13118530.73
Sucursal Centro,Fanta,2020,1,2114,3467763.37,2186630.71
Sucursal Centro,Sprite,2020,1,8220,14936038.45,10083521.99
Sucursal Centro,7 Up,2020,1,1072,1520230.65,1182616.26
Sucursal Centro,Pepsi,2020,1,8054,14458840.97,9705293.18
Sucursal Sur,Coca Cola,2020,1,9854,20659831.06,12639940.09
Sucursal Sur,Fanta,2020,1,1978,3371319.5,2089260.81
Sucursal Sur,Sprite,2020,1,8121,13935009.51,9301734.72
Sucursal Sur,7 Up,2020,1,966,1519653.89,1098454.71
Sucursal Sur,Pepsi,2020,1,7716,12954090.98,9342523.6
Sucursal Norte,Coca Cola,2020,2,10589,21963419.14,13477638.78
Sucursal Norte,Fanta,2020,2,2156,3678486.06,2500773.33
Sucursal Norte,Sprite,2020,2,7661,13878076.62,9495933.37
Sucursal Norte,7 Up,2020,2,916,1420281.44,1103991.33
Sucursal Norte,Pepsi,2020,2,7617,11784932.78,7764670.36
Sucursal Centro,Coca Cola,2020,2,10712,20260686.89,12936183.54
Sucursal Centro,Fanta,2020,2,2135,3471197.36,2293566.44
Sucursal Centro,Sprite,2020,2,8628,17501726.12,13540897.07
Sucursal Centro,7 Up,2020,2,982,1430714.53,868799.52
Sucursal Centro,Pepsi,2020,2,8175,14648668.72,10312356.42
Sucursal Sur,Coca Cola,2020,2,9718,18735153.82,14427567.7
Sucursal Sur,Fanta,2020,2,1817,3415844.19,2079339.59
Sucursal Sur,Sprite,2020,2,7728,13520470.96,8594009.08
Sucursal Sur,7 Up,2020,2,931,1302193.89,873991.59
Sucursal Sur,Pepsi,2020,2,8619,15042474.15,9564435.52
Sucursal Norte,Coca Cola,2020,3,10948,23396781.66,17664827.35
Sucursal Norte,Fanta,2020,3,2165,4279045.72,3190496.77
Sucursal Norte,Sprite,2020,3,7639,13207115.83,9820802.96
Sucursal Norte,7 Up,2020,3,934,1313450.02,930663.79
Sucursal Norte,Pepsi,2020,3,7727,12775077.35,9547840.44
Sucursal Centro,Coca Cola,2020,3,10583,19859906.78,14937731.93
Sucursal Centro,Fanta,2020,3,1910,3507344.91,2666331.75
Sucursal Centro,Sprite,2020,3,7848,14360297.3,8646445.79
Sucursal Centro,7 Up,2020,3,907,1370992.68,1009990.49
Sucursal Centro,Pepsi,2020,3,7556,11935664.05,9162753.21
Sucursal Sur,Coca Cola,2020,3,10063,21166883.5,13890833.45
Sucursal Sur,Fanta,2020,3,1898,3549150.3,2726379.62
Sucursal Sur,Sprite,2020,3,7403,13251418.06,9971215.07
Sucursal Sur,7 Up,2020,3,1010,1481544.9,934178.19
Sucursal Sur,Pepsi,2020,3,7373,13676752.85,8671128.8
Sucursal Norte,Coca Cola,2020,4,9139,17006787.88,13388455.48
Sucursal Norte,Fanta,2020,4,1945,3408359.59,2165367.31
Sucursal Norte,Sprite,2020,4,7521,12936014.46,8979136.35
Sucursal Norte,7 Up,2020,4,991,1463310.12,1160439.49
Sucursal Norte,Pepsi,2020,4,7579,14119689.43,9034768.55
Sucursal Centro,Coca Cola,2020,4,9278,16820934.21,11499430.72
Sucursal Centro,Fanta,2020,4,1952,3368914.07,2131289.63
Sucursal Centro,Sprite,2020,4,8348,16180871.06,12209474.81
Sucursal Centro,7 Up,2020,4,1023,1604309.77,1260686.15
Sucursal Centro,Pepsi,2020,4,7759,13098161.85,9095641.53
Sucursal Sur,Coca Cola,2020,4,10113,20049802.81,13024631.73
Sucursal Sur,Fanta,2020,4,1928,3666154.0,2777083.51
Sucursal Sur,Sprite,2020,4,7286,15199585.37,11630475.3
Sucursal Sur,7 Up,2020,4,980,1373829.58,1079423.9
Sucursal Sur,Pepsi,2020,4,7949,14543895.12,8793627.77
Sucursal Norte,Coca Cola,2020,5,9021,17829916.79,14042742.13
Sucursal Norte,Fanta,2020,5,1839,3169881.32,2161093.19
Sucursal Norte,Sprite,2020,5,8287,16601507.88,11253499.75
Sucursal Norte,7 Up,2020,5,994,1447143.48,1052925.16
Sucursal Norte,Pepsi,2020,5,7343,13684843.34,10482747.46
Sucursal Centro,Coca Cola,2020,5,10033,20151112.23,14555806.9
Sucursal Centro,Fanta,2020,5,2167,3740318.4,2627298.23
Sucursal Centro,Sprite,2020,5,8284,16343025.13,9929070.61
Sucursal Centro,7 Up,2020,5,918,1245121.55,908010.29
Sucursal Centro,Pepsi,2020,5,8541,14935804.1,11157257.92
Sucursal Sur,Coca Cola,2020,5,10543,19070583.42,14634434.95
Sucursal Sur,Fanta,2020,5,2167,3868088.59,2847092.03
Sucursal Sur,Sprite,2020,5,8613,17914118.89,12584677.47
Sucursal Sur,7 Up,2020,5,1051,1459774.7,1162759.79
Sucursal Sur,Pepsi,2020,5,8297,14966131.73,9451903.13
Sucursal Norte,Coca Cola,2020,6,10290,20859571.86,16674828.9
Sucursal Norte,Fanta,2020,6,2043,3372827.37,2337340.93
Sucursal Norte,Sprite,2020,6,8598,14914133.65,10119775.05
Sucursal Norte,7 Up,2020,6,1041,1699119.57,1043623.89
Sucursal Norte,Pepsi,2020,6,8065,14241278.05,10100872.62
Sucursal Centro,Coca Cola,2020,6,10686,21440495.57,16176612.66
Sucursal Centro,Fanta,2020,6,1835,3607229.81,2263898.76
Sucursal Centro,Sprite,2020,6,8730,15183507.22,9239052.18
Sucursal Centro,7 Up,2020,6,1040,1596983.61,1230098.43
Sucursal Centro,Pepsi,2020,6,7693,13197828.78,8121077.29
Sucursal Sur,Coca Cola,2020,6,10393,19326872.55,12244965.56
Sucursal Sur,Fanta,2020,6,1828,3174481.74,2014423.96
Sucursal Sur,Sprite,2020,6,8479,17565513.58,12237324.58
Sucursal Sur,7 Up,2020,6,1012,1415960.25,1093240.64
Sucursal Sur,Pepsi,2020,6,7685,11851256.19,8216578.66
Sucursal Norte,Coca Cola,2020,7,10347,19844980.0,14731038.86
Sucursal Norte,Fanta,2020,7,1834,3526700.8,2691900.59
Sucursal Norte,Sprite,2020,7,8193,15329743.79,9214423.23
Sucursal Norte,7 Up,2020,7,961,1526196.15,1131182.48
Sucursal Norte,Pepsi,2020,7,7362,13519661.05,8981826.38
Sucursal Centro,Coca Cola,2020,7,10139,20773992.68,13651250.29
