Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,4798,13314106.36,8762542.72
Sucursal Norte,Merlot,2020,1,3791,9362018.29,7316719.32
Sucursal Norte,Pinot Noir,2020,1,2781,10015778.65,7702270.89
Sucursal Norte,Chardonnay,2020,1,4766,13077851.19,7956072.59
Sucursal Norte,Sauvignon Blanc,2020,1,3743,9970822.73,6287195.09
Sucursal Centro,Cabernet Sauvignon,2020,1,5100,14512905.31,9284997.6
Sucursal Centro,Merlot,2020,1,4300,11391979.55,7535002.04
Sucursal Centro,Pinot Noir,2020,1,2891,9557524.89,5986025.62
Sucursal Centro,Chardonnay,2020,1,4848,13222198.82,8296530.09
Sucursal Centro,Sauvignon Blanc,2020,1,3291,8184894.06,5592757.27
Sucursal Sur,Cabernet Sauvignon,2020,1,4520,14070155.09,9814257.7
Sucursal Sur,Merlot,2020,1,3914,10572207.29,6938018.24
Sucursal Sur,Pinot Noir,2020,1,3090,10556641.77,7355645.18
Sucursal Sur,Chardonnay,2020,1,4905,15047748.15,9400510.66
Sucursal Sur,Sauvignon Blanc,2020,1,3709,10416193.01,7848909.43
Sucursal Norte,Cabernet Sauvignon,2020,2,4925,14575843.71,9196013.66
Sucursal Norte,Merlot,2020,2,4208,11522848.0,7349357.13
Sucursal Norte,Pinot Noir,2020,2,3159,12006903.37,7431193.25
Sucursal Norte,Chardonnay,2020,2,4881,14773599.09,10964348.29
Sucursal Norte,Sauvignon Blanc,2020,2,3349,8442060.25,6186005.18
Sucursal Centro,Cabernet Sauvignon,2020,2,5108,15850798.75,12130346.01
Sucursal Centro,Merlot,2020,2,3922,9355806.25,6162296.47
Sucursal Centro,Pinot Noir,2020,2,2729,9340273.9,6803890.74
Sucursal Centro,Chardonnay,2020,2,4658,12035331.79,7749937.25
Sucursal Centro,Sauvignon Blanc,2020,2,3753,9397603.84,6281974.14
Sucursal Sur,Cabernet Sauvignon,2020,2,5054,16345824.51,12657066.9
Sucursal Sur,Merlot,2020,2,3850,9828209.93,6761107.93
Sucursal Sur,Pinot Noir,2020,2,3147,9985862.12,6399510.91
Sucursal Sur,Chardonnay,2020,2,4234,11734599.62,7564428.21
Sucursal Sur,Sauvignon Blanc,2020,2,3620,8736486.24,5408703.51
Sucursal Norte,Cabernet Sauvignon,2020,3,5066,15523893.77,9726122.59
Sucursal Norte,Merlot,2020,3,3977,10718154.55,7339145.38
Sucursal Norte,Pinot Noir,2020,3,3254,10303731.31,6901565.3
Sucursal Norte,Chardonnay,2020,3,4154,12493339.72,7953329.29
Sucursal Norte,Sauvignon Blanc,2020,3,3409,8277445.25,5468461.78
Sucursal Centro,Cabernet Sauvignon,2020,3,5260,15888761.5,12494315.03
Sucursal Centro,Merlot,2020,3,4056,9156530.65,6253813.75
Sucursal Centro,Pinot Noir,2020,3,3029,10563163.03,7831405.32
Sucursal Centro,Chardonnay,2020,3,4621,12442257.2,9136530.16
Sucursal Centro,Sauvignon Blanc,2020,3,3817,10763907.77,6791553.31
Sucursal Sur,Cabernet Sauvignon,2020,3,4642,13126131.72,9859602.88
Sucursal Sur,Merlot,2020,3,4251,11582990.03,8428428.14
Sucursal Sur,Pinot Noir,2020,3,2861,9571431.1,6609535.46
Sucursal Sur,Chardonnay,2020,3,4096,10819884.47,8531098.47
Sucursal Sur,Sauvignon Blanc,2020,3,3408,8294058.05,5846699.51
Sucursal Norte,Cabernet Sauvignon,2020,4,4633,13609155.81,10153300.75
Sucursal Norte,Merlot,2020,4,4165,9647016.93,6105523.15
Sucursal Norte,Pinot Noir,2020,4,2923,11038044.31,7156875.39
Sucursal Norte,Chardonnay,2020,4,4711,14320525.71,8867673.16
Sucursal Norte,Sauvignon Blanc,2020,4,3723,9859832.2,6072887.41
Sucursal Centro,Cabernet Sauvignon,2020,4,5465,15369344.54,9848646.3
Sucursal Centro,Merlot,2020,4,3928,9862350.51,6332074.28
Sucursal Centro,Pinot Noir,2020,4,3101,10925604.36,8598641.66
Sucursal Centro,Chardonnay,2020,4,4207,12296829.63,7707317.13
Sucursal Centro,Sauvignon Blanc,2020,4,3683,10168147.69,7475712.49
Sucursal Sur,Cabernet Sauvignon,2020,4,4865,15806885.33,9749445.43
Sucursal Sur,Merlot,2020,4,4110,9271917.51,5827297.66
Sucursal Sur,Pinot Noir,2020,4,3099,11924153.63,9093577.43
Sucursal Sur,Chardonnay,2020,4,4702,13256249.6,8590430.1
Sucursal Sur,Sauvignon Blanc,2020,4,3460,8173233.76,5837007.99
Sucursal Norte,Cabernet Sauvignon,2020,5,4950,13978024.94,9504182.78
Sucursal Norte,Merlot,2020,5,4076,10071183.99,7715704.37
Sucursal Norte,Pinot Noir,2020,5,2852,10769120.19,8236937.45
Sucursal Norte,Chardonnay,2020,5,4884,14967739.07,10221840.1
Sucursal Norte,Sauvignon Blanc,2020,5,3812,10023746.2,6341725.27
Sucursal Centro,Cabernet Sauvignon,2020,5,5493,15349693.61,11155274.05
Sucursal Centro,Merlot,2020,5,4142,10367201.7,7303798.47
Sucursal Centro,Pinot Noir,2020,5,3193,11642761.12,8327641.69
Sucursal Centro,Chardonnay,2020,5,4084,11964221.77,7767681.94
Sucursal Centro,Sauvignon Blanc,2020,5,3454,8342830.3,6306446.77
Sucursal Sur,Cabernet Sauvignon,2020,5,5111,16162182.91,12178941.95
Sucursal Sur,Merlot,2020,5,4073,9942002.11,6728460.47
Sucursal Sur,Pinot Noir,2020,5,3006,9910651.15,7669451.47
Sucursal Sur,Chardonnay,2020,5,4164,11171525.5,7152633.73
Sucursal Sur,Sauvignon Blanc,2020,5,3748,9950613.07,6805856.59
Sucursal Norte,Cabernet Sauvignon,2020,6,4608,15093053.37,9723459.62
Sucursal Norte,Merlot,2020,6,3993,9743881.28,6597580.38
Sucursal Norte,Pinot Noir,2020,6,3180,11209773.63,8458602.84
Sucursal Norte,Chardonnay,2020,6,4636,12965921.08,8465066.83
Sucursal Norte,Sauvignon Blanc,2020,6,3298,9079665.97,6481393.56
Sucursal Centro,Cabernet Sauvignon,2020,6,5376,15235904.64,9481576.2
Sucursal Centro,Merlot,2020,6,4380,10824174.37,7287792.65
Sucursal Centro,Pinot Noir,2020,6,2804,9343927.95,6993301.04
Sucursal Centro,Chardonnay,2020,6,4353,13288795.21,10263199.61
Sucursal Centro,Sauvignon Blanc,2020,6,3172,8085670.94,5791135.6
Sucursal Sur,Cabernet Sauvignon,2020,6,5112,15404908.75,11716961.68
Sucursal Sur,Merlot,2020,6,3664,8248722.85,5910363.32
Sucursal Sur,Pinot Noir,2020,6,3171,11647332.01,8922758.88
Sucursal Sur,Chardonnay,2020,6,4374,11977920.01,8584385.46
Sucursal Sur,Sauvignon Blanc,2020,6,3257,9134588.99,6755637.54
Sucursal Norte,Cabernet Sauvignon,2020,7,4500,13219207.72,9993730.24
Sucursal Norte,Merlot,2020,7,4173,10961211.4,7801814.51
Sucursal Norte,Pinot Noir,2020,7,3206,10631254.14,7074034.63
Sucursal Norte,Chardonnay,2020,7,4790,13341703.76,8202922.55
Sucursal Norte,Sauvignon Blanc,2020,7,3403,9289530.4,5646427.0
Sucursal Centro,Cabernet Sauvignon,2020,7,5113,13937129.56,9406831.35
Sucursal Centro,Merlot,2020,7,4208,10471286.94,7925575.01
Sucursal Centro,Pinot Noir,2020,7,3283,10634080.25,8252990.36
Sucursal Centro,Chardonnay,2020,7,4805,13020042.95,8042970.7
Sucursal Centro,Sauvignon Blanc,2020,7,3514,8850255.73,6347042.08
Sucursal Sur,Cabernet Sauvignon,2020,7,4865,14710020.6,10951645.03
Sucursal Sur,Merlot,2020,7,4217,11036119.51,8568746.95
Sucursal Sur,Pinot Noir,2020,7,3278,11541137.91,8534547.21
Sucursal Sur,Chardonnay,2020,7,4872,12895126.73,9011160.1
Sucursal Sur,Sauvignon Blanc,2020,7,3150,8191779.4,5747088.74
Sucursal Norte,Cabernet Sauvignon,2020,8,5227,14266472.64,11183522.06
Sucursal Norte,Merlot,2020,8,4392,11535986.34,7779197.5
Sucursal Norte,Pinot Noir,2020,8,3068,10090219.33,7019810.13
Sucursal Norte,Chardonnay,2020,8,4205,12923409.57,9845073.29
Sucursal Norte,Sauvignon Blanc,2020,8,3390,8968758.5,6863700.78
Sucursal Centro,Cabernet Sauvignon,2020,8,5060,15899289.18,12042652.07
Sucursal Centro,Merlot,2020,8,4093,9379341.28,7343768.04
Sucursal Centro,Pinot Noir,2020,8,3062,11504438.94,7278246.86
Sucursal Centro,Chardonnay,2020,8,4354,12361158.73,7955892.92
Sucursal Centro,Sauvignon Blanc,2020,8,3830,10321811.3,6395885.49
Sucursal Sur,Cabernet Sauvignon,2020,8,4871,14534834.32,9320842.99
Sucursal Sur,Merlot,2020,8,3672,8614676.04,5276236.29
Sucursal Sur,Pinot Noir,2020,8,2851,10895406.15,7507190.99
Sucursal Sur,Chardonnay,2020,8,4065,12146570.31,8409605.97
Sucursal Sur,Sauvignon Blanc,2020,8,3794,9005737.03,6461515.56
Sucursal Norte,Cabernet Sauvignon,2020,9,5077,14309438.87,11114180.65
Sucursal Norte,Merlot,2020,9,3815,9474077.51,7466313.44
Sucursal Norte,Pinot Noir,2020,9,2959,9836911.38,7157382.27
Sucursal Norte,Chardonnay,2020,9,4879,14364121.37,10422115.0
Sucursal Norte,Sauvignon Blanc,2020,9,3199,9100003.48,5952668.31
Sucursal Centro,Cabernet Sauvignon,2020,9,5480,17411984.28,13413730.88
Sucursal Centro,Merlot,2020,9,4166,9724878.86,6708309.51
Sucursal Centro,Pinot Noir,2020,9,3208,11986119.45,9068374.11
Sucursal Centro,Chardonnay,2020,9,4248,10859900.44,7394831.51
Sucursal Centro,Sauvignon Blanc,2020,9,3350,7918644.16,5415772.36
Sucursal Sur,Cabernet Sauvignon,2020,9,5277,14832800.19,9650547.25
Sucursal Sur,Merlot,2020,9,3863,10119509.22,7996309.49
Sucursal Sur,Pinot Noir,2020,9,3032,11380432.47,7004004.41
Sucursal Sur,Chardonnay,2020,9,4055,10648672.28,7964986.39
Sucursal Sur,Sauvignon Blanc,2020,9,3491,9131385.66,5788289.64
Sucursal Norte,Cabernet Sauvignon,2020,10,5256,16865421.61,10791806.19
Sucursal Norte,Merlot,2020,10,3756,9176975.93,5897766.8
Sucursal Norte,Pinot Noir,2020,10,2841,10126839.8,6151238.06
Sucursal Norte,Chardonnay,2020,10,4164,11616593.05,9082739.54
Sucursal Norte,Sauvignon Blanc,2020,10,3598,8667568.91,5969308.1
Sucursal Centro,Cabernet Sauvignon,2020,10,5498,14954360.5,11780665.02
Sucursal Centro,Merlot,2020,10,3989,10716775.33,6608484.74
Sucursal Centro,Pinot Noir,2020,10,2965,10456241.97,8021684.63
Sucursal Centro,Chardonnay,2020,10,4739,13188092.89,9476337.45
Sucursal Centro,Sauvignon Blanc,2020,10,3214,7672694.65,5602693.42
Sucursal Sur,Cabernet Sauvignon,2020,10,5090,15749929.11,9567333.97
Sucursal Sur,Merlot,2020,10,3872,9034471.4,5598636.24
Sucursal Sur,Pinot Noir,2020,10,2734,9632620.22,5790814.92
Sucursal Sur,Chardonnay,2020,10,4463,12662219.47,9277168.38
Sucursal Sur,Sauvignon Blanc,2020,10,3570,9299296.68,6293106.95
Sucursal Norte,Cabernet Sauvignon,2020,11,5210,14583654.14,11233324.06
Sucursal Norte,Merlot,2020,11,4302,10556981.26,8182242.44
Sucursal Norte,Pinot Noir,2020,11,3194,10602423.26,8047910.29
Sucursal Norte,Chardonnay,2020,11,4488,12869824.45,8278946.44
Sucursal Norte,Sauvignon Blanc,2020,11,3278,8030786.5,5621980.72
Sucursal Centro,Cabernet Sauvignon,2020,11,5114,14309831.28,8967188.06
Sucursal Centro,Merlot,2020,11,3767,8587605.32,5867388.88
Sucursal Centro,Pinot Noir,2020,11,3099,11315504.47,7876399.97
Sucursal Centro,Chardonnay,2020,11,4496,12977822.69,8119512.43
Sucursal Centro,Sauvignon Blanc,2020,11,3399,9176467.24,7155408.28
Sucursal Sur,Cabernet Sauvignon,2020,11,5476,17932607.8,14027317.65
Sucursal Sur,Merlot,2020,11,4069,10659628.29,8456909.87
Sucursal Sur,Pinot Noir,2020,11,3246,11419467.57,7583507.31
Sucursal Sur,Chardonnay,2020,11,4708,11989089.05,7763549.33
Sucursal Sur,Sauvignon Blanc,2020,11,3286,8678508.36,5822423.28
Sucursal Norte,Cabernet Sauvignon,2020,12,5441,17082139.26,13060113.76
Sucursal Norte,Merlot,2020,12,4166,11391261.62,8399242.25
Sucursal Norte,Pinot Noir,2020,12,2974,11004860.88,8119343.82
Sucursal Norte,Chardonnay,2020,12,4388,11607468.36,8902721.72
Sucursal Norte,Sauvignon Blanc,2020,12,3451,9682039.6,6326246.25
Sucursal Centro,Cabernet Sauvignon,2020,12,4862,13701507.29,9603338.01
Sucursal Centro,Merlot,2020,12,3957,10615494.07,8000445.64
Sucursal Centro,Pinot Noir,2020,12,2812,8992362.25,6551940.65
Sucursal Centro,Chardonnay,2020,12,4933,13614270.18,10297304.69
Sucursal Centro,Sauvignon Blanc,2020,12,3240,8070776.23,5642591.77
Sucursal Sur,Cabernet Sauvignon,2020,12,4836,14622468.79,10465079.28
Sucursal Sur,Merlot,2020,12,4294,11520101.43,7331161.85
Sucursal Sur,Pinot Noir,2020,12,3193,10779095.83,7615829.1
Sucursal Sur,Chardonnay,2020,12,4182,12313072.01,9775970.97
Sucursal Sur,Sauvignon Blanc,2020,12,3701,10056299.25,7165984.5
Sucursal Norte,Cabernet Sauvignon,2021,1,5414,18313808.31,12203377.38
Sucursal Norte,Merlot,2021,1,3824,11222192.06,6749624.54
Sucursal Norte,Pinot Noir,2021,1,3478,15653989.69,10917409.16
Sucursal Norte,Chardonnay,2021,1,5025,16045591.39,10199504.38
Sucursal Norte,Sauvignon Blanc,2021,1,3180,9149310.13,6390134.13
Sucursal Centro,Cabernet Sauvignon,2021,1,5037,16790440.06,10916672.51
